Optical Constants derived by Shkuratov et al. Theory and SK-K Analysis
Wavelength    real index    im index
1534.513274    1.83019662925258    4.26765445211e-05
1542.477876    1.8302038558154572    4.13753370674e-05
1550.442478    1.8301991830146649    4.12123943331e-05
1558.40708    1.8302021219846738    4.06742862791e-05
1569.026549    1.8301982274341255    4.02061443421e-05
1582.300885    1.830190099400528    4.05462978402e-05
1592.920354    1.8301866919441196    4.00714271993e-05
1600.884956    1.8301924235293423    3.9900032803e-05
1611.504425    1.8301859982056716    4.12946355565e-05
1622.123894    1.830184491457073    4.1950787435e-05
1632.743363    1.8301854137975524    4.30059905561e-05
1646.017699    1.8301801021235014    4.37528843882e-05
1659.292035    1.8301780427753287    4.49143570414e-05
1672.566372    1.830173074849392    4.651595685e-05
1683.185841    1.8301809783868794    4.80855084604e-05
1699.115044    1.8301730018583662    4.98514854784e-05
